Date,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close
03/08/2009,73.99,77.35,24.31,28.25,13.08314,18.38708,698.97,508.8,33,39.39
01/09/2009,77.49,75.17,28.32,31.8,18.35592,18.11677,505.92,535,39.55,45.16
01/10/2009,74.98,76.31,31.8,28.95,18.14793,14.30001,500.77,539,45.19,43.31
02/11/2009,76.31,83.7,28.95,31.2,14.30001,15.27751,539,570,43.31,44.69
01/12/2009,82.43,85.2,31.41,30.5,15.4855,16.11992,573,631,44.8,47.18
01/01/2010,85.2,82.3,30.5,31.95,16.11992,12.5008,631,667.12,47.18,42.92
01/02/2010,82.3,93.24,31.95,28.34,12.5008,12.76075,667.12,667.97,42.92,47.78
01/03/2010,95.53,108.78,28.82,31.62,12.83353,13.2495,675.04,628.05,48.08,54.57
01/04/2010,110.4,98.4,31.65,32.51,13.83195,15.27751,620,585.76,54.84,51.12
03/05/2010,96.57,91.89,33.07,30.45,15.33994,15.07999,607.93,502.05,52.4,50.51
01/06/2010,88.81,91.94,30.29,30.39,14.76795,13.04151,498.75,518.52,50.21,50.14
01/07/2010,90.84,95.36,29.99,31.88,13.11441,12.45917,506.65,504.65,49.98,49.55
02/08/2010,93.03,90.56,32.66,30.18,12.58392,10.69116,502,422.41,50.99,47.49
01/09/2010,92.99,92.3,30.63,30.67,11.12796,11.21116,438.81,441.7,48.75,47.71
01/10/2010,92.16,95.2,31.11,32.55,11.30473,11.25276,435.16,463.28,48.59,52.67
01/11/2010,94.86,101.65,33.09,32.71,11.14876,11.77279,472.89,500.94,53.26,53.79
01/12/2010,103.47,105.43,32.78,31.63,11.93915,13.69675,506.12,522.85,54.84,58.86
03/01/2011,103.45,102.43,31.9,30.7,13.96716,11.91834,517.64,504.16,58.49,53.98
01/02/2011,103.99,94.21,31.43,27.86,11.98077,11.31519,508.22,504.87,54,54.96
02/03/2011,94.82,100.18,26.99,27.08,11.10716,11.05516,503.82,512.59,53.9,55.98
01/04/2011,99.92,25.4,27.4,28.4,11.32554,10.37916,508.27,525,56.89,57.97
02/05/2011,25.06,26.92,28.72,28.53,10.33757,10.37916,515.19,534.09,57.11,53.94
01/06/2011,26.67,27.13,28.01,26.95,10.25436,10.46237,527.09,602.71,53.37,53.3
04/07/2011,27.56,28.24,26.84,23.86,10.47276,8.59036,625.21,854.93,53.5,51.29
01/08/2011,28.09,24.17,23.33,18.66,8.33038,6.92637,861.24,1027.48,51.4,50.18
01/09/2011,24.15,26.39,18.54,15.39,6.78078,4.58638,1056.04,1055.03,47.6,40.99
03/10/2011,26.39,27.45,15.48,17.84,4.61758,6.06318,1004.45,1026.99,41.16,45.45
01/11/2011,27.33,28.2,17.7,17.84,5.91757,6.60397,999,1330,44.99,46.15
01/12/2011,28.43,28.5,17.95,16.94,6.64557,7.69598,1342.99,1400,46.9,42.25
02/01/2012,28.4,29,16.94,21.24,7.74797,9.18317,1386.5,1140,43.2,51.94
01/02/2012,29.08,28.8,21.6,23.59,9.29756,10.23356,1155,1114,52.3,52
01/03/2012,28.91,29.86,23.65,24.38,10.26476,10.29597,1121,1205.72,52.59,56.87
02/04/2012,29.84,31.08,24.3,23.58,10.30636,9.79677,1190.01,793,57.15,62.82
01/05/2012,31.08,31.46,23.58,20.97,9.79677,8.37197,793,512,62.82,64.11
01/06/2012,31,32.79,21.1,23.4,8.03917,9.33916,500.04,537,64,68.94
02/07/2012,32.65,33.12,23.62,22.13,9.32877,9.65116,540.08,628.91,69.15,71.21
01/08/2012,33.03,28.7,22.65,23.51,9.77597,10.13996,630.48,532.65,71.2,67.27
03/09/2012,29.12,32.04,23.51,24.9,10.33757,11.13836,532.65,528.06,67.72,72.76
01/10/2012,32.15,30.5,24.9,28.13,11.15916,12.34478,532.33,539.57,72.76,72.75
01/11/2012,30.5,30.5,28.21,29.29,12.34478,11.98077,542.5,545.26,72.91,74.12
03/12/2012,30.47,33.47,30.28,32.19,12.11598,13.20799,544,550.3,74.12,83.45
01/01/2013,33.47,32.88,32.19,38.09,13.20799,14.42476,550.3,593,83.45,87.67
01/02/2013,32.9,34.67,38.11,36.88,14.46638,14.26874,598.3,529.59,88.03,94.84
01/03/2013,34.32,39.49,36.9,41.21,14.24793,15.63117,529.59,486.65,93.2,98.68
01/04/2013,39.29,39.51,41.25,33.57,15.63117,14.23758,490.84,523.28,97.97,91.56
01/05/2013,39.51,37.83,33.57,23.15,14.23758,15.52712,523.28,471.47,91.56,81.75
03/06/2013,38.5,39.25,23.4,24.47,15.36075,14.31036,472.42,428.95,81.75,76.72
01/07/2013,39.05,43.2,24.35,26.99,14.31036,15.30878,430.95,462.88,73.15,81.15
01/08/2013,43.01,38.85,27.21,27.45,15.39191,15.77672,459.01,436.35,81.69,83.49
02/09/2013,39,40.69,27.78,27.92,15.5999,15.24635,435,417.32,83.8,81.73
01/10/2013,40.49,43.83,27.94,24.77,15.30878,14.41441,424.53,440.12,82.5,83.28
01/11/2013,43.59,40.8,24.89,24.81,14.4351,15.02791,438.54,470.41,82.73,89.62
02/12/2013,40.61,40.2,24.81,26.95,15.02791,15.95355,469.07,444.47,89.5,91.36
01/01/2014,40.2,35.53,26.95,25.83,15.95355,17.19112,444.47,408.31,91.36,84.42
03/02/2014,35.53,34.75,25.83,21.65,17.19112,18.03353,408.31,378.08,84.42,86.03
03/03/2014,34.69,35.24,21.54,21.71,17.92959,17.15997,376,402.58,85.45,87.83
01/04/2014,35.69,36.14,21.95,23.5,17.18077,17.39916,406.55,375.89,87.83,86.73
01/05/2014,36.14,37.2,23.5,26.06,17.39916,17.22243,375.89,339.82,86.73,92.98
02/06/2014,37.03,38.07,26.08,25.24,17.31598,17.86716,339.8,345.16,94.3,92.79
01/07/2014,38.1,40.61,25.26,23.41,17.93996,17.24319,343.85,341.85,92.98,87.86
01/08/2014,40.81,41.16,23.5,24.24,17.36801,18.06478,341,382.68,88.5,92.05
01/09/2014,41.35,38.94,24.46,23.21,18.06478,18.19997,380.77,377.98,92.05,85.78
01/10/2014,38.75,39.39,23.36,23.97,18.252,17.25357,376.09,499.84,86.19,86.39
03/11/2014,39.35,39.11,24,20.48,17.18078,17.96083,510.01,587.18,86.3,78.8
01/12/2014,39.35,40.7,20.5,18.01,17.88804,15.64156,580,562.93,78.7,81.2
01/01/2015,40.7,38.14,18.01,15.57,15.64156,13.84242,562.93,564.28,81.2,76.07
02/02/2015,38.14,42.22,15.57,13.51,13.84242,15.75599,564.28,498.72,76.07,81.19
02/03/2015,41.5,43.26,13.51,12.42,15.70397,15.04884,495,394.54,81,88.52
01/04/2015,43.04,41.2,12.32,13.62,14.40005,15.392,393,401.32,88.8,87.48
01/05/2015,41.2,41.68,13.62,12.93,15.392,14.9968,401.32,390.22,87.48,86.93
01/06/2015,41.21,40.66,12.9,11.98,15.0592,14.9864,392.17,350.56,86.35,86.24
01/07/2015,40.6,43.23,12.19,10.22,15.0384,14.2792,350,351.37,86.3,84.8
03/08/2015,43.39,43.08,10.29,6.62,14.2376,13.6552,351.37,291.11,84.7,80.41
01/09/2015,42.99,42.81,6.41,7.11,13.2912,12.2616,289.7,290.42,78.99,82.8
01/10/2015,42.8,46.87,7.13,6.61,12.2928,10.8888,292,329.04,83.5,88.95
02/11/2015,46.87,45.88,6.61,5.32,10.8888,10.9304,329.04,355.94,88.95,89.49
01/12/2015,46.91,45.95,5.19,3.55,10.9512,9.8072,350.41,379.04,88.91,94.99
